Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,52.500000,53.400002,51.200001,52.799999,50.977230,1086931
2020-12-02,52.700001,53.400002,52.000000,53.000000,51.170330,755047
2020-12-03,53.400002,53.400002,52.200001,52.200001,50.397945,622780
2020-12-04,52.299999,53.000000,51.200001,52.200001,50.397945,458191
2020-12-09,51.200001,53.000000,48.099998,48.950001,47.260143,681583
2020-12-10,49.450001,50.200001,48.950001,50.099998,48.370438,427699
2020-12-11,50.500000,50.599998,49.049999,49.450001,47.742878,775729
2020-12-14,49.500000,50.000000,47.700001,48.000000,46.342937,581619
2020-12-15,48.500000,49.299999,47.799999,48.000000,46.342937,544898
2020-12-16,48.000000,49.299999,47.599998,49.150002,47.453239,778787
2020-12-17,49.299999,50.000000,48.799999,49.900002,48.177341,428414
2020-12-18,50.099998,50.500000,49.099998,49.950001,48.225620,583198
2020-12-21,49.000000,49.000000,47.000000,47.250000,45.618828,503517
2020-12-22,47.500000,49.000000,46.900002,48.900002,47.211868,637564
2020-12-23,50.000000,50.000000,48.099998,48.450001,46.777401,252067
2020-12-28,48.000000,48.000000,46.200001,46.950001,45.329185,690922
2020-12-29,47.450001,47.450001,46.549999,47.299999,45.667103,286152
2020-12-30,47.799999,48.400002,46.000000,47.200001,45.570557,733095
2021-01-04,47.299999,48.500000,46.049999,48.250000,46.584305,254793
2021-01-05,47.799999,51.200001,47.000000,51.000000,49.239372,868761
2021-01-06,51.500000,53.000000,51.099998,52.799999,50.977230,1411639
2021-01-07,52.799999,53.200001,51.900002,53.099998,51.266872,661149
2021-01-08,53.400002,53.500000,51.099998,53.400002,51.556515,748525
2021-01-11,53.500000,54.099998,51.299999,53.799999,51.942707,862655
2021-01-12,53.000000,53.500000,51.700001,53.200001,51.363422,537354
2021-01-13,53.200001,53.900002,51.200001,52.799999,50.977230,518744
2021-01-14,53.000000,53.500000,49.500000,51.500000,49.722111,496460
2021-01-15,51.500000,51.900002,50.099998,51.799999,50.011753,235489
2021-01-18,51.799999,52.700001,51.500000,52.500000,50.687588,303979
2021-01-19,52.700001,53.400002,52.099998,53.200001,51.363422,627739
2021-01-20,53.200001,54.000000,52.000000,53.500000,51.653065,578932
2021-01-21,53.799999,54.000000,51.299999,52.900002,51.073780,323041
2021-01-22,52.400002,52.799999,49.000000,50.400002,48.660084,463778
2021-01-25,50.700001,51.200001,49.200001,49.450001,47.742878,377263
2021-01-26,49.500000,50.599998,49.500000,50.500000,48.756630,205424
2021-01-27,50.500000,51.500000,49.849998,50.700001,48.949730,297440
2021-01-28,50.500000,51.400002,49.200001,49.400002,47.694607,213540
2021-01-29,50.599998,50.599998,47.950001,48.000000,46.342937,347778
2021-02-01,48.750000,50.000000,47.599998,48.650002,46.970497,637749
2021-02-02,48.000000,49.750000,48.000000,49.150002,47.453239,305301
2021-02-03,49.849998,49.849998,47.849998,48.299999,46.632580,850812
2021-02-04,48.500000,48.900002,46.799999,47.849998,46.198116,1072693
2021-02-05,48.000000,48.799999,47.900002,48.650002,46.970497,201775
2021-02-08,48.650002,49.299999,48.500000,48.700001,47.018776,349256
2021-02-09,48.700001,49.299999,48.549999,49.299999,47.598061,698553
2021-02-10,49.500000,49.549999,49.150002,49.500000,47.791157,256924
2021-02-11,49.900002,50.099998,47.000000,49.150002,47.453239,278943
2021-02-12,49.099998,49.400002,48.849998,49.250000,47.549782,286089
2021-02-17,49.250000,49.950001,47.599998,48.299999,46.632580,2436084
2021-02-18,48.349998,49.000000,47.250000,47.750000,46.101566,612452
2021-02-19,47.799999,48.299999,47.049999,47.250000,45.618828,576751
2021-02-22,47.299999,48.000000,45.099998,45.700001,44.122341,762610
2021-02-23,46.000000,46.450001,43.450001,43.950001,42.432755,540945
2021-02-24,44.000000,45.500000,44.000000,45.450001,43.880970,483546
2021-02-25,46.049999,46.500000,45.299999,46.200001,44.605080,452326
2021-02-26,46.500000,46.700001,45.599998,46.349998,44.749897,111413
2021-03-01,46.400002,47.200001,46.200001,47.000000,45.377457,317708
2021-03-02,47.150002,47.200001,44.900002,45.099998,43.543049,843461
